Nom,Naissance,Taille,Poids,Nationalité,Latéralité
J. Deschamps,5/13/1984,182.88,77.1,Chile,Right
Y. M'Bone,4/16/1993,185.42,82.1,Cameroon,Right
Omar Santana,4/14/1991,175.26,64.9,Spain,Right
S. Gomez,6/3/1996,170.18,67.1,Colombia,Left
J. Lozano,1/14/1991,185.42,78.9,Colombia,Left
L. Amos,2/23/1997,152.4,72.1,England,Left
M. Langer,1/6/1985,195.58,93,Austria,Right
E. Hajri,3/6/1983,187.96,73.9,Tunisia,Right
G. Bigirimana,10/22/1993,172.72,71.2,England,Right
Z. Arsenić,6/2/1994,187.96,74.8,Croatia,Right
R. Scheu,2/16/1995,152.4,73.9,Germany,Right
H. Da Campo,8/6/1994,175.26,69.9,Argentina,Right
Juan Cámara,2/13/1994,154.94,66.2,Spain,Left
J. Clarke-Harris,7/21/1994,182.88,71.2,England,Left
M. Oktay,4/28/1999,175.26,74.8,Turkey,Right
D. Bergqvist,3/29/1993,185.42,87.1,Sweden,Right
J. Arias,6/16/1995,190.5,79.8,Curacao,Right
C. Dikamona,6/23/1990,187.96,86.2,Congo,Right
José González,12/20/1995,182.88,71.2,Spain,Right
J. Carranza,5/20/2000,182.88,74.8,Argentina,Right
F. Beltrán,5/8/1998,165.1,66.2,Mexico,Right
C. Cropper,2/16/1993,193.04,91.2,United States,Right
P. Sohm,11/2/1991,185.42,77.1,Germany,Right
Carlos Cordero,9/26/1996,154.94,76.2,Spain,Left
A. Hadžiahmetović,3/8/1997,152.4,69.9,Bosnia Herzegovina,Right
C. Halkett,5/29/1995,182.88,74.8,Scotland,Left
H. Bjørdal,2/4/1997,187.96,88.9,Norway,Right
J. Derstroff,1/5/1992,182.88,74.8,Germany,Left
Han Peng,9/13/1983,187.96,84.8,China PR,Right
K. Ceesay,11/14/1987,154.94,73.9,Gambia,Right
A. Duarte,4/5/1994,152.4,76.2,Peru,Right
T. Röttger,7/12/1985,175.26,76.2,Germany,Right
M. Leitsch,5/16/1998,187.96,74.8,Germany,Left
J. Leiva,11/11/1993,154.94,77.1,Chile,Left
S. Torrizales,2/29/1992,152.4,74.8,Paraguay,Right
Gabriel Rodrigues,2/15/1996,193.04,86.2,Brazil,Right
R. Gojani,10/19/1992,175.26,71.2,Sweden,Right
C. Palomeque,4/2/1994,170.18,72.1,Colombia,Left
P. Madden,3/4/1990,182.88,76.2,Republic of Ireland,Right
R. Edwards,10/7/1993,187.96,76.2,England,Right
A. Marciniak,9/28/1988,185.42,78,Poland,Left
G. Poussin,1/13/1999,182.88,82.1,France,Right
Viti,9/16/1997,170.18,64,Spain,Right
Damià,2/3/1996,152.4,73.9,Spain,Right
Mauro Cerqueira,8/20/1992,152.4,78.9,Portugal,Left
M. Pinto,1/25/1994,172.72,73.9,Argentina,Left
L. Berry,7/12/1992,152.4,72.1,England,Right
Raphael Silva,4/20/1992,190.5,83,Brazil,Right
M. Dauda,2/20/1998,175.26,68.9,Ghana,Right
R. Kerschbaum,1/19/1994,154.94,74.8,Austria,Right
A. Batsula,2/6/1992,185.42,78.9,Ukraine,Left
B. Innocent,1/20/1996,154.94,69.9,Nigeria,Right
G. Esparza,1/30/1993,167.64,68.9,Argentina,Left
O. García,10/21/1992,182.88,73.9,Colombia,Right
J. Hanson,11/10/1995,152.4,78.9,England,Right
H. Zuck,7/21/1990,175.26,68.9,Germany,Left
M. Kirkeskov,9/5/1991,185.42,79.8,Denmark,Left
M. Giannikoglou,3/25/1993,187.96,84.8,Greece,Right
Pedro Silva,2/13/1997,187.96,76.2,Portugal,Right
Choi Kyu Baek,1/23/1994,187.96,76.2,Korea Republic,Right
Erik Expósito,6/23/1996,182.88,78,Spain,Left
N. Aankour,8/9/1993,172.72,69.9,Morocco,Right
G. Paquiez,2/15/1994,182.88,72.1,France,Left
T. Hołota,1/27/1991,182.88,83.9,Poland,Right
Raul Asencio,5/20/1998,187.96,78,Spain,Right
E. Pinnock,5/29/1993,193.04,78.9,England,Left
S. O'Neill,9/2/1993,187.96,86.2,United States,Right
J. Jervis,9/17/1991,190.5,82.1,England,Right
R. Wallace,6/17/1988,182.88,74.8,Costa Rica,Left
Jaquité,2/22/1996,172.72,64.9,Guinea Bissau,Right
T. Børven,12/3/1991,185.42,72.1,Norway,Right
A. Leautey,4/14/1996,172.72,68,France,Right
N. Landgraf,3/1/1996,154.94,68,Germany,Left
H. Piedra,2/20/1993,182.88,78,Ecuador,Right
B. Saka,9/5/2001,152.4,69.9,England,Left
S. Al Jaman,10/14/1993,175.26,64.9,Saudi Arabia,Right
W. Marinus,2/18/1995,152.4,73,Netherlands,Right
J. Mills,10/30/1989,175.26,69.9,England,Left
A. Østbø,4/19/1991,182.88,74.8,Norway,Right
K. Guédé,1/7/1985,182.88,87.1,Slovakia,Right
S. Ibeagha,1/21/1992,187.96,84.8,Nigeria,Right
Mayoral,4/5/1997,172.72,71.2,Spain,Right
K. Eisele,6/25/1995,190.5,76.2,Germany,Right
O. Verdon,10/5/1995,190.5,84.8,Benin,Right
S. Olsson,9/14/1997,185.42,81.2,Sweden,Right
P. Gladon,3/18/1992,187.96,83,Netherlands,Right
C. Pickel,5/15/1997,182.88,76.2,Switzerland,Right
J. Sargent,2/20/2000,185.42,78.9,United States,Right
K. Hashimoto,8/16/1993,154.94,73.9,Japan,Right
G. Melkadze,4/4/1997,182.88,83.9,Russia,Right
A. Palavecino,11/9/1996,154.94,73,Argentina,Right
N. Korzun,3/6/1995,175.26,68,Belarus,Right
J. Riley,12/6/1996,182.88,71.2,England,Right
O. Marciano,10/7/1989,193.04,87.1,Israel,Right
A. Butler,11/4/1983,182.88,83,England,Left
O. Cissé,4/8/1991,195.58,84.8,Mali,Left
B. Al Nakhli,5/20/1988,152.4,68.9,Saudi Arabia,Right
Yoon Bit Garam,5/7/1990,152.4,74.8,Korea Republic,Right
T. Holý,12/10/1991,205.74,102.1,Czech Republic,Right
J. Serrano,2/13/1998,154.94,64.9,France,Left
R. Seigers,1/11/1998,187.96,83,Belgium,Right
G. Fechner,9/5/1997,187.96,78,Germany,Right
A. Borysiuk,7/29/1991,152.4,69.9,Poland,Right
K. Sheppard,2/14/1991,154.94,79.8,Republic of Ireland,Right
Junio,2/27/1997,182.88,74.8,Brazil,Right
C. Martinez,2/6/1997,170.18,78.9,Panama,Right
P. Yrizar,8/6/1997,182.88,78,Mexico,Left
Hwang In Beom,9/20/1996,152.4,69.9,Korea Republic,Right
M. Johnston,4/19/1999,175.26,66.2,Scotland,Right
S. Romero,11/22/1988,172.72,69.9,Colombia,Right
B. Shea,2/28/1990,190.5,86.2,United States,Left
J. Thomassen,4/15/1993,187.96,78,Netherlands,Right
Gao Zhunyi,8/21/1995,185.42,69.9,China PR,Right
U. Garcia,1/11/1996,182.88,82.1,Switzerland,Left
J. Welsh,1/10/1984,170.18,73,England,Right
L. Brown,8/10/1990,182.88,78.9,England,Left
M. Bülter,3/29/1993,187.96,84.8,Germany,Right
A. Hanche-Olsen,1/17/1997,185.42,73.9,Norway,Right
A. Diallo,1/15/1996,182.88,77.1,Senegal,Right
C. Mandouki,8/21/1991,154.94,73,France,Right
J. Godínez,1/21/1997,182.88,78.9,Mexico,Right
E. Iyoha,10/11/1997,190.5,86.2,Germany,Right
J. Cano,12/20/1982,175.26,73.9,Colombia,Right
C. Klem,4/21/1991,172.72,71.2,Austria,Left
I. Paro,10/16/1994,182.88,78.9,Burkina Faso,Right
Iury,9/6/1995,185.42,71.2,Brazil,Right
J. Pohl,4/6/1996,182.88,77.1,Denmark,Right
A. Kolev,12/8/1992,190.5,81.2,Bulgaria,Right
Brugui,11/4/1996,172.72,68,Spain,Left
F. Knudsen,8/30/1996,190.5,83,Norway,Right
C. Laprevotte,10/4/1992,154.94,73,France,Right
T. Hopper,12/14/1993,185.42,76.2,England,Left
H. Dahmani,11/16/1987,152.4,78,Germany,Left
J. Ness,3/2/1991,152.4,69.9,Scotland,Left
O. Eddahri,8/30/1990,185.42,77.1,Sweden,Right
A. Corsi,5/18/1989,154.94,72.1,Italy,Right
A. Falatah,10/20/1983,175.26,69.9,Saudi Arabia,Left
César Ortiz,1/30/1989,182.88,72.1,Spain,Right
J. Toivio,3/10/1988,185.42,87.1,Finland,Right
D. Baumann,4/24/1995,152.4,81.2,Germany,Right
S. Wagstaff,3/31/1990,152.4,78.9,England,Right
João Moutinho,1/12/1998,182.88,69.9,Portugal,Right
D. Gazdag,3/2/1996,152.4,76.2,Hungary,Right
N. Medvedev,12/17/1994,193.04,79.8,Russia,Right
D. Charles,12/10/1987,185.42,84.8,England,Left
A. Ndom,5/30/1996,187.96,79.8,France,Left
C. Doidge,8/25/1992,185.42,77.1,Wales,Right
L. Tipton,7/28/1992,152.4,78,Colombia,Left
S. Arai,11/1/1988,185.42,82.1,Japan,Right
S. Payne,8/10/1991,152.4,73.9,England,Right
Pité,8/22/1994,187.96,78,Portugal,Left
R. van der Meer,2/21/1995,195.58,86.2,Netherlands,Left
B. Close,8/8/1996,175.26,74.8,England,Right
Yang Zhi,1/15/1983,185.42,78.9,China PR,Right
Y. Maruhashi,9/2/1990,152.4,73,Japan,Left
E. Miller,1/15/1993,182.88,78.9,United States,Right
D. Gape,9/9/1994,175.26,69.9,England,Right
R. McLaughlin,9/30/1994,175.26,68.9,Northern Ireland,Right
E. Ampadu,9/14/2000,182.88,72.1,Wales,Right
J. Chapman,1/1/1994,182.88,71.2,Canada,Right
Markel Areitio,9/7/1996,154.94,68.9,Spain,Right
D. Dankerlui,8/24/1996,172.72,71.2,Netherlands,Right
B. Tuiloma,3/27/1995,182.88,78,New Zealand,Right
A. Ibsen Rømer,7/18/1993,185.42,73.9,Denmark,Right
M. Ingram,12/18/1993,190.5,82.1,England,Left
Lucas Marques,5/24/1995,152.4,72.1,Brazil,Right
N. Briasco,2/29/1996,152.4,82.1,Armenia,Right
J. Sabbatini,3/31/1988,175.26,71.2,Uruguay,Right
B. Youssouf,2/11/1994,175.26,73.9,Comoros,Right
J. Rodríguez,9/24/1992,154.94,69.9,Colombia,Left
J. Mendes,3/30/1991,185.42,79.8,France,Right
A. Díaz,1/27/1996,175.26,72.1,Mexico,Right
E. Ebanks-Landell,12/16/1992,187.96,88,England,Right
J. Thorniley,11/24/1996,154.94,64,England,Left
D. Poleon,9/7/1993,175.26,82.1,England,Right
T. Schrammel,9/5/1987,175.26,74.8,Austria,Left
A. Kampetsis,5/6/1999,185.42,81.2,Greece,Right
Q. Maceiras,10/10/1995,154.94,74.8,Switzerland,Right
D. Szoboszlai,10/25/2000,185.42,69.9,Hungary,Right
Álvaro,4/13/1998,187.96,74.8,Spain,Left
Zhao Yuhao,4/7/1993,154.94,78.9,China PR,Right
E. Córdoba,10/21/1993,175.26,72.1,Colombia,Right
B. Dia,11/16/1996,154.94,74.8,France,Right
P. Hoffmann,6/19/1992,185.42,76.2,Germany,Right
F. Rogic,6/14/1993,154.94,77.1,Sweden,Right
N. Loyola,10/26/1994,175.26,64,Peru,Left
C. Mosca,4/4/1991,154.94,73.9,Argentina,Left
G. Cummins,12/29/1987,152.4,74.8,Republic of Ireland,Right
J. Clauss,9/25/1992,185.42,72.1,France,Right
L. Prosser,5/28/1988,190.5,78.9,England,Left
M. O'Connor,10/6/1987,154.94,78.9,Northern Ireland,Right
A. N'Diaye,6/14/1991,152.4,67.1,France,Right
A. Gerbo,11/9/1989,152.4,69.9,Italy,Right
S. Lawson,8/8/1994,152.4,77.1,Togo,Right
Fran Manzanara,9/12/1996,182.88,72.1,Spain,Right
I. Voca,5/15/1997,154.94,73.9,Kosovo,Right
G. Rólantsson Sørensen,8/11/1992,187.96,82.1,Faroe Islands,Right
N. Miatke,1/30/1990,152.4,76.2,Germany,Left
A. Chicksen,9/27/1991,172.72,73.9,Zimbabwe,Left
F. Ponce,3/29/1988,152.4,67.1,Mexico,Right
C. McHugh,2/5/1993,182.88,84.8,Republic of Ireland,Left
R. Ruiz,1/14/1986,175.26,72.1,Mexico,Right
L. Meisl,3/4/1999,182.88,79.8,Austria,Right
L. de la Torre,5/23/1998,152.4,68,United States,Left
J. Hiwula,9/21/1994,152.4,76.2,England,Right
R. Atassi,3/16/1991,182.88,81.2,Morocco,Left
Y. Opazo,12/24/1984,175.26,73,Chile,Right
N. Devlin,10/17/1993,182.88,73,Scotland,Right
A. De Bruyn,6/4/1994,152.4,68.9,Belgium,Right
P. Tietz,7/9/1997,190.5,81.2,Germany,Right
S. Dooley,10/19/1991,154.94,79.8,Northern Ireland,Right
A. Rufer,6/12/1996,182.88,74.8,New Zealand,Right
B. Kwiecień,5/7/1994,185.42,79.8,Poland,Right
T. Danneberg,4/23/1986,187.96,73,Germany,Right
Y. Rokutan,4/10/1987,187.96,79.8,Japan,Right
C. Vergara,6/20/1994,175.26,69.9,Chile,Right
M. López,11/20/1999,175.26,67.1,Peru,Left
M. Breij,1/15/1997,154.94,72.1,Netherlands,Right
Júnior Tavares,8/7/1996,152.4,68.9,Brazil,Left
Marcel,10/16/1992,187.96,76.2,Brazil,Right
E. Pantelakis,2/10/1995,187.96,81.2,Greece,Right
B. Gschweidl,9/8/1995,152.4,73,Austria,Right
J. Ockford,6/2/1992,185.42,83,United States,Right
N. Neidhart,9/27/1994,152.4,68,Germany,Right
D. Orgill,3/8/1990,182.88,81.2,Jamaica,Right
D. Stroh-Engel,11/27/1985,198.12,93.9,Germany,Right
M. Bravo,2/15/1993,172.72,72.1,Chile,Left
D. Wein,2/5/1994,185.42,81.2,Germany,Right
M. Tootle,10/11/1990,172.72,77.1,England,Right
F. Aksoy,11/6/1997,187.96,78,Turkey,Right
G. Diangana,3/19/1998,175.26,73,England,Left
Mateus Couteira,2/29/1984,152.4,74.8,Brazil,Right
R. Steer,6/8/1982,182.88,78.9,Colombia,Right
M. Albertazzi,1/7/1991,185.42,73,Italy,Left
D. Forde,12/20/1979,187.96,89.8,Republic of Ireland,Right
Jiang Tao,6/28/1989,182.88,76.2,China PR,Right
J. Marimón,9/9/1998,182.88,76.2,Colombia,Right
N. Tkalčić,12/3/1989,175.26,69.9,Croatia,Right
Mao Jianqing,8/8/1986,185.42,74.8,China PR,Right
E. Lomotey,12/19/1997,190.5,78.9,Ghana,Right
R. Hayasaka,9/19/1985,182.88,73,Japan,Right
H. Hansen,11/4/1994,195.58,88,Germany,Right
L. Diaby Fadiga,1/19/2001,187.96,82.1,France,Left
P. Owusu,1/7/1997,190.5,87.1,Germany,Left
C. Mueller,8/29/1996,175.26,73.9,United States,Right
F. Assmann,3/23/1986,190.5,82.1,Argentina,Right
G. Ruggiero,2/4/2000,152.4,78,Italy,Right
S. Skytte,2/20/1997,190.5,94.8,Denmark,Left
N. Mason,1/10/1997,154.94,78,England,Right
S. Luna,12/25/1987,152.4,78,Argentina,Right
S. Londoño,3/9/1995,182.88,69.9,Colombia,Right
T. Endoh,8/20/1993,170.18,63,Japan,Right
G. Felicioli,9/30/1997,154.94,77.1,Italy,Left
J. Mårtensson,2/16/1989,154.94,74.8,Sweden,Right
K. Rendón,1/8/1993,182.88,73.9,Colombia,Right
P. Breitkreuz,1/18/1992,187.96,88.9,Germany,Right
J. Cortizo,6/30/1996,172.72,69.9,Mexico,Left
G. Wegkamp,4/13/1993,193.04,83.9,Germany,Right
P. Wiegers,4/19/1990,185.42,86.2,Germany,Right
Lee Yun Pyo,9/4/1984,182.88,78.9,Korea Republic,Right
A. Absalem,6/19/1997,175.26,69.9,Netherlands,Left
J. McKeown,7/24/1989,187.96,88.9,Republic of Ireland,Right
Mairdel Sampaio,2/29/1988,175.26,71.2,Brazil,Right
J. Bond,5/19/1993,193.04,83.9,England,Right
P. Prosenik,3/3/1993,187.96,79.8,Austria,Left
G. Ortiz,3/25/1989,187.96,83.9,Paraguay,Right
T. Knöll,9/13/1997,182.88,78.9,Germany,Right
Cho Sung Hwan,4/9/1982,182.88,78,Korea Republic,Right
R. Porteous,3/25/1999,185.42,68,Scotland,Right
S. Roa,10/4/1995,152.4,72.1,Colombia,Right
S. Mallan,3/25/1996,152.4,68.9,Scotland,Right
A. Stølås,4/30/1989,182.88,74.8,Norway,Left
B. Uaferro,1/4/1992,190.5,88,Germany,Right
F. Kastrati,11/14/1991,154.94,77.1,Kosovo,Right
F. Henríquez,6/8/1995,185.42,73.9,Argentina,Left
Henrique,1/5/1995,154.94,81.2,Brazil,Left
D. Niepsuj,8/16/1995,182.88,76.2,Poland,Right
I. Colman,5/6/1995,175.26,66.2,Argentina,Right
J. Thiaré,3/31/1993,154.94,64.9,Senegal,Right
B. Olejnik,11/26/1986,187.96,83,Austria,Right
A. Tanaka,10/4/1987,167.64,68,Japan,Right
D. Amoo,4/13/1991,152.4,77.1,England,Right
M. Pietrowski,3/1/1988,182.88,78.9,Poland,Right
J. Eskesen,3/16/1999,175.26,68,Denmark,Right
G. Middleton,12/31/1999,175.26,68,Scotland,Left
M. Firenze,6/26/1993,154.94,69.9,Italy,Right
A. McCormack,1/10/1984,154.94,64,Republic of Ireland,Right
G. Treand,1/16/1986,152.4,73.9,France,Right
P. Martínez,11/30/1996,154.94,67.1,Paraguay,Left
O. Álvarez,6/11/1995,152.4,78,Colombia,Right
K. Pallesen,4/30/1990,175.26,72.1,Denmark,Right
J. Forster,9/23/1993,187.96,76.2,Scotland,Right
M. Kuttin,12/17/1993,193.04,93.9,Austria,Right
Shin Kwang Hoon,3/18/1987,152.4,77.1,Korea Republic,Right
Park Won Jae,5/28/1984,175.26,68.9,Korea Republic,Left
A. Lomovitskiy,1/27/1998,182.88,73,Russia,Right
F. Piovaccari,9/1/1984,154.94,77.1,Italy,Right
N. Rasskazov,1/4/1998,154.94,73,Russia,Right
E. Zambataro,8/18/1998,152.4,64.9,Italy,Left
D. Hashioka,5/17/1999,182.88,74.8,Japan,Right
J. Deminguet,1/7/1998,152.4,73.9,France,Left
K. Coulibaly,6/3/1993,182.88,79.8,France,Left
M. Buchalik,2/3/1989,190.5,83,Poland,Right
D. Lovren,10/3/1998,172.72,69.9,Croatia,Left
B. Kallman,10/4/1990,187.96,86.2,United States,Right
G. Morris,12/20/1983,182.88,69.9,England,Right
D. Daniels,11/24/1993,185.42,91.2,Montserrat,Right
G. Fuentes,2/9/1997,154.94,73.9,Colombia,Left
S. Peszko,2/19/1985,172.72,69.9,Poland,Right
Jordi Escobar,2/10/2002,185.42,73.9,Spain,Right
T. Oakley-Boothe,2/14/2000,182.88,68,England,Right
M. Anderson,7/1/1998,154.94,68.9,Iceland,Right
T. Pearce,4/12/1998,185.42,69.9,England,Left
S. Sarr,6/5/1996,195.58,86.2,Senegal,Left
P. Charruau,7/12/1993,187.96,87.1,France,Right
H. Anderson,1/9/1997,152.4,71.2,England,Right
F. Di Mariano,4/20/1996,152.4,68,Italy,Right
G. Puel,2/20/1992,152.4,67.1,France,Right
M. Chudý,4/23/1989,187.96,89.8,Slovakia,Right
Andújar,8/21/1991,187.96,78.9,Spain,Right
Kaká,5/20/1991,175.26,67.1,Brazil,Right
A. Wordsworth,1/3/1989,185.42,76.2,England,Left
N. Gil,4/1/1997,182.88,77.1,Colombia,Left
Hu Yanqiang,3/20/1993,152.4,59.9,China PR,Right
A. Noppert,4/7/1994,203.2,93.9,Netherlands,Right
M. Exslager,2/12/1991,175.26,71.2,Germany,Right
A. Al Joui,3/2/1995,167.64,66.2,Saudi Arabia,Right
P. Brożek,4/21/1983,154.94,72.1,Poland,Right
Diego Alende,8/25/1997,182.88,76.2,Spain,Right
M. Aebischer,1/6/1997,182.88,73.9,Switzerland,Right
J. Stacey,4/6/1996,152.4,62.1,England,Right
W. Palacios,7/21/1994,175.26,72.1,Colombia,Right
A. Al Mutairi,7/1/1986,175.26,60.8,Saudi Arabia,Right
N. Ferraresi,11/19/1998,187.96,74.8,Venezuela,Right
S. Ingolitsch,4/18/1997,152.4,72.1,Austria,Right
J. Welzmüller,1/10/1990,187.96,74.8,Germany,Right
S. Jurado,9/28/1997,185.42,79.8,Mexico,Right
S. Wharton,10/3/1997,193.04,81.2,England,Left
J. Tosik,5/21/1987,154.94,81.2,Poland,Right
D. Rose,2/21/1988,170.18,66.2,England,Left
C. Greger,1/14/1997,193.04,81.2,Germany,Left
V. Jónsson,3/10/1994,182.88,74.8,Iceland,Right
Vagnão Junior,2/29/1992,172.72,62.1,Brazil,Left
A. Moreno,10/30/1995,175.26,64.9,Chile,Right
F. Lanzillotta,12/1/1992,185.42,79.8,Argentina,Right
R. Sánchez,10/5/1983,185.42,79.8,Colombia,Right
L. Quezada,2/11/1996,170.18,66.2,Dominican Republic,Left
J. Díaz Price,7/27/1998,175.26,64.9,Mexico,Right
R. Allsop,6/17/1992,187.96,79.8,England,Right
K. Fickentscher,7/6/1988,154.94,78,Switzerland,Right
A. Al Kassar,5/8/1991,152.4,76.2,Saudi Arabia,Right
A. Stewart,9/18/1992,182.88,76.2,England,Right
S. Pinas,3/19/1998,182.88,67.1,Netherlands,Left
O. Sangante,2/1/1991,187.96,87.1,Senegal,Right
B. Bye,3/9/1990,185.42,83,Norway,Right
I. Berezovskyi,8/24/1990,193.04,87.1,Ukraine,Right
I. Aliseda,3/14/2000,170.18,68.9,Argentina,Right
P. Leciejewski,3/23/1985,193.04,88,Poland,Right
N. Oroz,4/1/1994,172.72,73,Argentina,Left
A. Bruno,7/4/1983,154.94,69.9,Italy,Right
F. Torres,4/27/1989,154.94,78,Chile,Right
Rafael Dumas,3/13/1995,182.88,82.1,Brazil,Right
M. Özyıldırım,2/28/1995,154.94,74.8,Turkey,Right
C. Freitag,1/21/1990,182.88,79.8,Austria,Right
T. Yonemoto,12/3/1990,152.4,69.9,Japan,Right
F. Tingager,2/22/1993,198.12,93.9,Denmark,Right
M. Sarr,1/30/1995,187.96,83,Germany,Left
L. Balerdi,1/26/1999,187.96,84.8,Argentina,Right
G. Alanís,3/16/1994,185.42,73,Argentina,Left
O. Skipp,9/16/2000,175.26,69.9,England,Right
S. Hughes,4/15/1997,187.96,79.8,England,Right
Han Hee Hoon,8/10/1990,182.88,78,Korea Republic,Right
A. Tarbell,10/7/1993,190.5,88,United States,Right
Dêniro Prestes,2/29/1988,187.96,82.1,Brazil,Right
T. Al Ammar,9/23/1999,170.18,68,Saudi Arabia,Right
M. Suzuki,2/11/1994,185.42,73.9,Japan,Right
K. Mazek,7/22/1994,175.26,64,Poland,Left
D. Vaughan,2/18/1983,167.64,69.9,Wales,Left
E. Laird,8/5/2001,152.4,74.8,England,Right
T. Campbell,12/28/1999,182.88,74.8,England,Left
C. Mackail-Smith,2/25/1984,152.4,78,Scotland,Right
N. Bishop,8/7/1981,185.42,81.2,England,Right
C. Ferreira,9/12/1999,175.26,68.9,Argentina,Right
J. Valencia,3/19/1993,182.88,74.8,Colombia,Right
L. Nieuwpoort,10/29/1994,187.96,69.9,Netherlands,Left
R. Meléndez,11/19/1998,175.26,72.1,Chile,Left
M. Malsa,10/12/1995,152.4,68.9,France,Right
C. Shaughnessy,6/30/1996,190.5,73.9,Republic of Ireland,Right
Lolo,7/22/1991,185.42,83,Spain,Right
J. Rask,7/18/1988,195.58,88,Denmark,Right
M. Martic,8/15/1995,187.96,81.2,Austria,Right
T. Pett,12/3/1991,172.72,69.9,England,Right
Hui Jiakang,1/15/1989,154.94,74.8,China PR,Right
O. Palmer,1/21/1992,195.58,92.1,England,Right
J. Mitchell,11/24/1994,182.88,86.2,England,Right
D. Vaněček,3/9/1991,193.04,92.1,Czech Republic,Right
Y. Shimada,11/28/1990,175.26,76.2,Japan,Left
A. Pucheta,3/8/1995,154.94,83.9,Argentina,Left
T. Bunmathan,2/6/1990,170.18,62.1,Thailand,Left
Moreto Cassamá,2/16/1998,167.64,63,Portugal,Right
R. Edwards,7/15/1995,175.26,66.2,Canada,Left
Y. Hamza,9/27/1990,182.88,76.2,Saudi Arabia,Right
M. Ignatov,5/4/2000,182.88,73.9,Russia,Right
A. Gnanduillet,2/13/1992,193.04,93,Ivory Coast,Right
K. Angielski,3/20/1996,152.4,69.9,Poland,Left
B. Kara,3/27/1993,172.72,68,Turkey,Left
Ha Dae Sung,3/2/1985,182.88,74.8,Korea Republic,Right
I. Ljubić,7/7/1996,182.88,74.8,Austria,Right
U. Antuna,8/21/1997,175.26,59,Mexico,Right
A. Barcham,12/16/1986,175.26,74.8,England,Right
F. Menig,2/26/1994,187.96,78.9,Germany,Right
L. Wahlqvist,11/11/1996,182.88,78,Sweden,Right
G. Ferrari,6/30/1997,182.88,76.2,Argentina,Right
A. Bayındır,4/14/1998,198.12,73,Turkey,Right
Genís,7/23/1996,175.26,67.1,Spain,Right
J. Tillson,3/5/1993,182.88,67.1,England,Right
S. McNulty,9/26/1983,185.42,88,England,Right
D. Stojanović,7/19/1993,195.58,88.9,FYR Macedonia,Left
R. O'Donnell,9/12/1988,187.96,84.8,England,Left
R. Basque,6/30/1995,182.88,68.9,France,Right
F. Reese,11/29/1997,187.96,79.8,Germany,Right
C. Rawlinson,9/22/1991,185.42,78,Wales,Right
D. Kutesa,12/6/1997,175.26,67.1,Switzerland,Right
M. Al Saiari,5/2/1993,182.88,79.8,Saudi Arabia,Right
O. Özenç,1/7/1993,190.5,84.8,Turkey,Right
R. Renner,11/29/1993,154.94,68.9,Austria,Left
A. Winkler,1/26/1992,190.5,83.9,Germany,Left
Z. Tsiskaridze,9/8/1986,185.42,84.8,Georgia,Left
S. Domínguez,12/5/1987,170.18,68,Chile,Right
F. Ruberto,3/19/1993,182.88,79.8,Switzerland,Right
Montero,1/14/1999,154.94,76.2,Spain,Left
Kuki Zalazar,5/5/1998,175.26,73,Spain,Left
B. Moe,12/15/1991,182.88,79.8,Norway,Right
B. Morris,4/25/1996,182.88,71.2,England,Right
M. Desler,2/19/1995,182.88,73,Denmark,Right
R. Takasugi,1/10/1984,182.88,71.2,Japan,Right
B. Soumaré,2/27/1999,187.96,82.1,France,Right
Seo Young Jae,5/23/1995,182.88,72.1,Korea Republic,Left
A. Bittroff,9/19/1988,185.42,79.8,Germany,Right
P. Clarke,1/3/1982,182.88,83,England,Right
J. Storey,9/2/1997,187.96,74.8,England,Right
F. Mayembo,1/9/1996,182.88,88,Congo,Right
T. Hilliard-Arce,11/22/1995,185.42,78.9,United States,Right
E. Hernández,8/27/1982,185.42,83,Mexico,Right
D. Telgenkamp,5/9/1987,193.04,103,Netherlands,Right
M. Sadílek,5/31/1999,170.18,60.8,Czech Republic,Left
Leonardo,12/28/1992,193.04,73.9,Brazil,Right
V. Loroña,11/16/1998,154.94,74.8,Mexico,Right
Bura,12/22/1995,182.88,77.1,Guinea Bissau,Right
S. Gbegnon,3/27/1992,187.96,74.8,Togo,Right
B. Verboom,1/30/1992,152.4,73.9,Belgium,Left
He Chao,4/19/1995,152.4,77.1,China PR,Right
C. Grant,4/18/1995,175.26,76.2,England,Left
B. Stuver,4/16/1991,190.5,81.2,United States,Right
F. Hansch,8/22/1995,182.88,76.2,Germany,Right
H. Shimoda,11/7/1991,170.18,64,Japan,Left
Dani Molina,3/14/1996,182.88,73,Spain,Left
M. Güçlü,4/2/1999,182.88,69.9,Turkey,Left
L. Stevenson,1/5/1988,170.18,67.1,Scotland,Left
K. Ogawa,7/14/1992,170.18,64.9,Japan,Right
R. Zambrano,8/26/1994,175.26,68,Venezuela,Right
K. Risgård,1/4/1983,182.88,78.9,Denmark,Right
J. Macías,9/22/1999,152.4,73,Mexico,Right
A. Al Qahtani,2/9/1993,170.18,64.9,Saudi Arabia,Right
F. Soyalp,6/12/1995,175.26,73,Turkey,Right
D. Bowles,10/19/1991,187.96,83.9,Australia,Right
Eddy Francis,12/17/1990,154.94,74.8,China PR,Right
A. Connolly,1/28/2000,152.4,77.1,Republic of Ireland,Right
F. Herbers,8/17/1993,182.88,74.8,Germany,Right
